,Survived,Pclass,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male
0,0,1.0,0.275,0.125,0.0,0.014151057562208049,False,False,True,False,True
1,1,0.3333333333333333,0.475,0.125,0.0,0.13913573538264068,True,False,False,True,False
2,1,1.0,0.325,0.0,0.0,0.015468569817999833,False,False,True,True,False
3,1,0.3333333333333333,0.4375,0.125,0.0,0.10364429745562033,False,False,True,True,False
4,0,1.0,0.4375,0.0,0.0,0.015712553569072387,False,False,True,False,True
5,0,1.0,0.37123897058823524,0.0,0.0,0.01650950209357577,False,True,False,False,True
6,0,0.3333333333333333,0.675,0.0,0.0,0.10122885832000206,False,False,True,False,True
7,0,1.0,0.025,0.375,0.16666666666666666,0.04113566043083236,False,False,True,False,True
8,1,1.0,0.3375,0.0,0.3333333333333333,0.021730754366528396,False,False,True,True,False
9,1,0.6666666666666666,0.175,0.125,0.0,0.058694292654020104,True,False,False,True,False
10,1,1.0,0.05,0.125,0.16666666666666666,0.03259622914329302,False,False,True,True,False
11,1,0.3333333333333333,0.725,0.0,0.0,0.051822148727810165,False,False,True,True,False
12,0,1.0,0.25,0.0,0.0,0.015712553569072387,False,False,True,False,True
13,0,1.0,0.4875,0.125,0.8333333333333334,0.06104473451835265,False,False,True,False,True
14,0,1.0,0.175,0.0,0.0,0.015330377421392339,False,False,True,True,False
15,1,0.6666666666666666,0.6875,0.0,0.0,0.03122992013728673,False,False,True,True,False
16,0,1.0,0.025,0.5,0.16666666666666666,0.056848213999904744,False,True,False,False,True
17,1,0.6666666666666666,0.37123897058823524,0.0,0.0,0.025374310111545468,False,False,True,False,True
18,0,1.0,0.3875,0.125,0.0,0.03513366015444757,False,False,True,True,False
19,1,1.0,0.37123897058823524,0.0,0.0,0.014102260811993537,True,False,False,True,False
20,0,0.6666666666666666,0.4375,0.0,0.0,0.050748620223090936,False,False,True,False,True
21,1,0.6666666666666666,0.425,0.0,0.0,0.025374310111545468,False,False,True,False,True
22,1,1.0,0.1875,0.0,0.0,0.015671954672893913,False,True,False,True,False
23,1,0.3333333333333333,0.35,0.0,0.0,0.06929138530460492,False,False,True,False,True
24,0,1.0,0.1,0.375,0.16666666666666666,0.04113566043083236,False,False,True,True,False
25,1,1.0,0.475,0.125,0.8333333333333334,0.061264319894317944,False,False,True,True,False
